x,y
-30.0000,1699.5677
-29.8999,1693.4813
-29.7998,1687.6761
-29.6997,1684.1360
-29.5997,1675.6774
-29.4996,1665.6081
-29.3995,1665.1472
-29.2994,1657.4084
-29.1993,1651.6296
-29.0992,1646.7083
-28.9992,1641.1477
-28.8991,1638.0416
-28.7990,1630.6311
-28.6989,1623.1129
-28.5988,1614.6966
-28.4987,1608.0078
-28.3987,1605.9411
-28.2986,1603.2956
-28.1985,1593.6576
-28.0984,1587.3940
-27.9983,1583.4986
-27.8982,1571.7430
-27.7982,1569.3771
-27.6981,1566.0054
-27.5980,1561.3849
-27.4979,1552.2832
-27.3978,1548.3853
-27.2977,1542.2606
-27.1977,1538.1334
-27.0976,1526.7272
-26.9975,1526.0621
-26.8974,1514.1143
-26.7973,1505.1086
-26.6972,1505.4683
-26.5972,1498.8721
-26.4971,1498.5881
-26.3970,1492.3035
-26.2969,1481.0140
-26.1968,1481.5840
-26.0967,1470.4159
-25.9967,1467.5545
-25.8966,1461.3322
-25.7965,1456.9678
-25.6964,1453.5012
-25.5963,1447.3912
-25.4962,1440.9664
-25.3962,1436.3173
-25.2961,1430.2637
-25.1960,1421.4181
-25.0959,1415.6277
-24.9958,1410.8607
-24.8957,1408.2695
-24.7957,1400.5320
-24.6956,1402.8105
-24.5955,1387.8762
-24.4954,1381.5784
-24.3953,1381.7314
-24.2952,1378.2524
-24.1952,1370.0749
-24.0951,1365.6463
-23.9950,1362.0088
-23.8949,1352.0487
-23.7948,1342.6729
-23.6947,1339.9666
-23.5947,1339.0526
-23.4946,1326.5039
-23.3945,1325.5867
-23.2944,1320.9069
-23.1943,1313.8715
-23.0942,1311.6703
-22.9942,1305.9329
-22.8941,1305.8560
-22.7940,1295.4629
-22.6939,1286.4959
-22.5938,1281.3700
-22.4937,1275.3019
-22.3937,1275.4047
-22.2936,1265.6087
-22.1935,1261.8697
-22.0934,1259.1097
-21.9933,1249.4827
-21.8932,1245.5734
-21.7932,1235.7419
-21.6931,1232.8397
-21.5930,1229.2153
-21.4929,1227.0072
-21.3928,1224.1918
-21.2927,1215.4174
-21.1927,1211.1283
-21.0926,1205.7296
-20.9925,1203.3714
-20.8924,1197.6988
-20.7923,1190.7513
-20.6922,1181.8189
-20.5922,1182.4935
-20.4921,1175.8680
-20.3920,1173.3573
-20.2919,1164.5484
-20.1918,1165.4690
-20.0917,1153.5147
-19.9917,1154.3622
-19.8916,1144.9301
-19.7915,1138.0476
-19.6914,1131.2327
-19.5913,1129.1967
-19.4912,1128.9615
-19.3912,1122.1924
-19.2911,1116.8717
-19.1910,1102.7493
-19.0909,1107.0916
-18.9908,1101.7181
-18.8907,1093.5026
-18.7907,1088.3820
-18.6906,1085.3791
-18.5905,1085.6926
-18.4904,1072.4946
-18.3903,1069.5284
-18.2902,1070.0591
-18.1902,1059.8072
-18.0901,1055.2349
-17.9900,1051.8130
-17.8899,1042.9978
-17.7898,1042.5935
-17.6897,1033.5269
-17.5897,1035.0434
-17.4896,1027.6394
-17.3895,1029.7322
-17.2894,1018.9866
-17.1893,1017.5132
-17.0892,1004.7885
-16.9892,1003.6240
-16.8891,1000.2621
-16.7890,999.8420
-16.6889,984.8843
-16.5888,988.2311
-16.4887,982.3756
-16.3887,980.5544
-16.2886,973.4532
-16.1885,966.8445
-16.0884,960.5057
-15.9883,953.7184
-15.8882,953.4516
-15.7882,947.7026
-15.6881,949.7608
-15.5880,937.2993
-15.4879,935.5360
-15.3878,925.3202
-15.2877,924.3033
-15.1877,921.7456
-15.0876,918.9165
-14.9875,916.2814
-14.8874,907.3072
-14.7873,899.6004
-14.6872,899.8482
-14.5872,895.5582
-14.4871,891.0248
-14.3870,883.0015
-14.2869,884.0652
-14.1868,876.5013
-14.0867,873.9197
-13.9867,871.2352
-13.8866,864.8434
-13.7865,859.4878
-13.6864,860.7094
-13.5863,850.6148
-13.4862,844.6386
-13.3862,841.5151
-13.2861,841.2903
-13.1860,832.8709
-13.0859,829.7557
-12.9858,827.4776
-12.8857,818.0547
-12.7857,810.1264
-12.6856,811.9273
-12.5855,807.4511
-12.4854,800.6808
-12.3853,800.8710
-12.2852,795.8434
-12.1852,786.8086
-12.0851,787.1313
-11.9850,780.7813
-11.8849,772.7235
-11.7848,774.3445
-11.6847,768.6730
-11.5847,762.4059
-11.4846,762.0536
-11.3845,757.8022
-11.2844,750.4684
-11.1843,749.2752
-11.0842,747.0025
-10.9842,737.7124
-10.8841,736.8963
-10.7840,731.6751
-10.6839,734.3880
-10.5838,717.9363
-10.4837,721.5523
-10.3837,714.5010
-10.2836,711.0824
-10.1835,713.0611
-10.0834,703.3139
-9.9833,706.0557
-9.8832,694.0098
-9.7832,692.4012
-9.6831,685.9004
-9.5830,681.3343
-9.4829,679.6372
-9.3828,674.6555
-9.2827,672.1741
-9.1827,661.3250
-9.0826,669.7310
-8.9825,659.3161
-8.8824,661.1493
-8.7823,649.0128
-8.6822,649.0353
-8.5822,653.7860
-8.4821,637.8256
-8.3820,632.1025
-8.2819,631.1125
-8.1818,630.3431
-8.0817,627.1893
-7.9817,625.1740
-7.8816,616.7356
-7.7815,608.9135
-7.6814,608.6389
-7.5813,609.8984
-7.4812,603.8185
-7.3812,592.8044
-7.2811,594.8338
-7.1810,595.4073
-7.0809,593.8762
-6.9808,585.4755
-6.8807,581.0222
-6.7807,572.6875
-6.6806,570.2023
-6.5805,569.2066
-6.4804,566.9194
-6.3803,563.5043
-6.2802,556.6930
-6.1802,551.0458
-6.0801,548.5523
-5.9800,543.8087
-5.8799,545.6138
-5.7798,533.1608
-5.6797,535.5218
-5.5796,534.3054
-5.4796,533.9659
-5.3795,526.0678
-5.2794,525.3219
-5.1793,517.5951
-5.0792,513.0431
-4.9791,509.7473
-4.8791,512.8566
-4.7790,507.7715
-4.6789,502.7752
-4.5788,507.8381
-4.4787,494.2945
-4.3786,492.8068
-4.2786,488.4328
-4.1785,483.4187
-4.0784,487.6171
-3.9783,481.7828
-3.8782,469.6689
-3.7781,469.2821
-3.6781,468.3910
-3.5780,466.0900
-3.4779,456.3395
-3.3778,450.2726
-3.2777,447.9846
-3.1776,450.1648
-3.0776,446.7530
-2.9775,444.7928
-2.8774,438.1526
-2.7773,433.5035
-2.6772,427.8316
-2.5771,431.6228
-2.4771,428.4900
